timestamp,event,src,dst
3,fire,0,
87,fire,8,
252,fire,4,
267,fire,4,
280,fire,4,
294,fire,4,
309,fire,4,
322,fire,4,
412,fire,2,
426,fire,2,
440,fire,2,
487,fire,5,
528,fire,5,
582,fire,3,
596,fire,4,
609,fire,4,
623,fire,4,
639,fire,4,
653,fire,2,
666,fire,2,
666,fire,5,
666,fire,4,
680,fire,2,
693,fire,4,
693,fire,2,
693,hit,4,2.0
693,hit,8,2.0
707,fire,2,
707,fire,5,
707,hit,4,2.0
721,fire,8,
721,hit,2,8.0
735,fire,2,
735,fire,8,
735,fire,4,
735,hit,4,2.0
735,fire,5,
748,fire,8,
748,fire,4,
748,fire,1,
748,fire,2,
748,hit,8,2.0
762,fire,8,
762,fire,4,
762,fire,2,
762,hit,8,2.0
762,fire,5,
776,fire,2,
776,fire,4,
776,fire,8,
776,hit,2,8.0
777,dead,2,8.0
777,fire,4,
777,fire,8,
791,fire,4,
791,fire,5,
791,fire,8,
806,fire,9,
806,hit,0,9.0
806,fire,4,
806,fire,8,
821,fire,5,
821,fire,1,
821,fire,4,
821,fire,9,
821,hit,0,9.0
834,fire,9,
834,hit,0,9.0
849,fire,9,
849,hit,0,9.0
849,dead,0,9.0
863,fire,9,
876,fire,9,
976,fire,5,
990,fire,5,
990,hit,6,5.0
1005,fire,3,
1005,hit,5,3.0
1005,dead,5,3.0
1157,fire,4,
1385,fire,7,
1399,fire,0,
1413,fire,0,
1413,fire,7,
1413,hit,7,0.0
1428,fire,0,
1428,fire,7,
1428,hit,0,7.0
1442,fire,6,
1442,fire,0,
1442,fire,7,
1442,hit,0,7.0
1442,hit,4,6.0
1442,dead,4,6.0
1456,fire,7,
1457,hit,0,7.0
1457,dead,0,7.0
1457,fire,6,
1457,fire,1,
1457,hit,5,1.0
1457,fire,7,
1457,fire,8,
1471,fire,6,
1471,fire,5,
1471,hit,1,5.0
1471,fire,7,
1471,fire,8,
1471,hit,6,8.0
1486,fire,6,
1486,fire,7,
1486,fire,8,
1486,hit,6,8.0
1486,dead,6,8.0
1500,fire,5,
1500,hit,1,5.0
