timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
2227,0.0,718.404175,-1598.411011,-366.59021,-0.5593329792,0.8286472202,0.022145039,,,,
2228,0.0,718.22168,-1598.503784,-366.569672,-0.5593329792,0.8286472202,0.022145039,,,,
2229,0.0,718.212463,-1598.514771,-366.568909,-0.5593329792,0.8286472202,0.022145039,,,,
2230,0.0,718.106689,-1598.490479,-367.681396,-0.5630123005,0.8261028875,0.0238991358,,,,
2231,0.0,717.689087,-1598.543823,-368.64035,-0.5647904015,0.824737956,0.0286200322,,,,
2232,0.0,717.331299,-1598.661011,-369.195648,-0.5499811963,0.8346018104,0.0309919619,,,,
2233,0.0,716.641541,-1599.010986,-369.345276,-0.517839794,0.8548890126,0.0317289136,,,,
2234,0.0,716.259521,-1599.272705,-369.4039,-0.4708303561,0.8817137863,0.0299929116,,,,
2235,0.0,715.979797,-1599.608154,-369.395569,-0.4263579718,0.9040013828,0.0316287819,,,,
2236,0.0,715.916077,-1599.778198,-369.422058,-0.3849407542,0.9223446312,0.0331812741,,,,
2237,0.0,715.779358,-1600.003418,-369.369263,-0.3335287161,0.9420310265,0.0365532566,,,,
2238,0.0,715.623169,-1600.192871,-369.355103,-0.3008438232,0.9528587275,0.0394111582,,,,
2241,0.0,715.064941,-1600.78418,-368.189575,-0.2434306625,0.9688334986,0.0458602728,,,,
2242,0.0,714.695068,-1601.167847,-366.784576,-0.2293519701,0.9721486443,0.0482150094,,,,
2243,0.0,713.987183,-1602.514404,-362.142792,-0.1957717943,0.9792504973,0.0523628497,,,,
2244,0.0,713.793976,-1602.8034665,-361.3672335,-0.1831671821,0.981588217,0.052630247,,,,
2245,0.0,713.600769,-1603.092529,-360.591675,-0.1705625699,0.9839259367,0.0528976444,,,,
2246,0.0,713.073608,-1604.173218,-359.022675,-0.1390178774,0.9888760644,0.0528976269,,,,
2247,0.0,712.038513,-1605.438721,-356.513641,-0.1053490959,0.9931628756,0.050289866,,,,
2248,0.0,711.693817,-1605.7485965,-355.7521665,-0.0969537714,0.9940266743,0.0493851281,,,,
2249,0.0,710.581238,-1606.080688,-353.60437,-0.0797431695,0.9956537796,0.0481100625,,,,
2250,0.0,709.904419,-1605.921509,-352.34436,-0.075531085,0.9960137958,0.0474507503,,,,
2251,0.0,709.096313,-1606.06604,-352.021271,-0.0726288534,0.9962437956,0.0471524065,,,,
2252,0.0,708.6754455,-1605.83551,-352.229462,-0.0716055876,0.9963173376,0.0471524152,,,,
2253,0.0,707.531982,-1605.514771,-352.590515,-0.0705216816,0.9963951733,0.0471524239,,,,
2254,0.0,706.660645,-1605.53772,-352.660522,-0.0705216816,0.9963951733,0.0471524239,,,,
2255,0.0,705.647522,-1605.624878,-352.669952,-0.0705216816,0.9963951733,0.0471524239,,,,
2256,0.0,704.278076,-1605.706665,-352.728943,-0.0705216816,0.9963951733,0.0471524239,,,,
2257,0.0,702.772705,-1605.773071,-352.775665,-0.0705216816,0.9963951733,0.0471524239,,,,
2258,0.0,701.587463,-1605.84314,-352.816559,-0.0697672495,0.9964482826,0.0471524239,,,,
2259,0.0,699.801636,-1605.95752,-352.859314,-0.065822644,0.996716624,0.0471524239,,,,
2260,0.0,698.469788,-1606.03772,-352.912354,-0.0603545227,0.9970626771,0.0471524065,,,,
2261,0.0,696.973022,-1606.123291,-352.97522,-0.0495075641,0.9976600874,0.0471524239,,,,
2262,0.0,694.968567,-1606.237915,-353.040405,-0.0303036608,0.9984279337,0.0471524065,,,,
2263,0.0,693.399048,-1606.261719,-353.151123,-0.015913704,0.9987609347,0.0471524065,,,,
2264,0.0,691.269958,-1606.36853,-353.226196,0.0158973229,0.9988852854,0.0444461674,,,,
2265,0.0,689.662048,-1606.40979,-353.281555,0.0362025676,0.998396929,0.0435080016,,,,
2266,0.0,687.559265,-1606.482666,-353.352325,0.0671272634,0.996914978,0.0406750187,,,,
2267,0.0,686.035034,-1606.491333,-353.408142,0.0851891996,0.9955984571,0.0390706103,,,,
2268,0.0,684.239197,-1606.41748,-353.477325,0.1028375393,0.9940001277,0.0372583776,,,,
2269,0.0,681.708435,-1606.424683,-353.507355,0.1242095485,0.9916498427,0.0346782008,,,,
2270,0.0,680.229553,-1606.375,-353.710449,0.1378196578,0.9898778982,0.0338746001,,,,
2271,0.0,678.266296,-1606.25415,-354.126312,0.1500106765,0.9881392681,0.0328265722,,,,
2272,0.0,677.804565,-1606.258911,-354.325775,0.1524750194,0.9877756672,0.0324129575,,,,
2273,0.0,674.962463,-1605.963013,-355.646393,0.1628812302,0.986165743,0.0307706376,,,,
2326,0.0,603.663269,-1585.293945,-354.153961,0.459241993,0.8876369684,0.0346035281,,,,
2327,0.0,603.668396,-1585.42334,-353.312866,0.459241993,0.8876369684,0.0346035281,,,,
2328,0.0,603.998413,-1585.82605,-353.001373,0.459241993,0.8876369684,0.0346035281,,,,
2329,0.0,602.084595,-1584.216553,-354.795349,0.459241993,0.8876369684,0.0346035281,,,,
2330,0.0,601.282959,-1583.6915285,-354.6979065,0.459241993,0.8876369684,0.0346035281,,,,
2331,0.0,600.481323,-1583.166504,-354.600464,0.459241993,0.8876369684,0.0346035281,,,,
2332,0.0,599.641602,-1582.544434,-355.882019,0.459241993,0.8876369684,0.0346035281,,,,
2333,0.0,598.28656,-1581.380615,-359.481293,0.459241993,0.8876369684,0.0346035281,,,,
2334,0.0,597.53656,-1580.791626,-361.059326,0.459241993,0.8876369684,0.0346035281,,,,
2335,0.0,597.047607,-1580.321533,-363.329926,0.459241993,0.8876369684,0.0346035281,,,,
2336,0.0,596.499512,-1579.927002,-365.285187,0.459241993,0.8876369684,0.0346035281,,,,
2337,0.0,596.324097,-1579.5802,-367.970184,0.459241993,0.8876369684,0.0346035281,,,,
2338,0.0,596.195618,-1579.154297,-369.91806,0.4471610407,0.8939385541,0.0303457612,,,,
2339,0.0,596.141602,-1578.66272,-369.544525,0.4195527015,0.9073340896,0.0268399055,,,,
2340,0.0,596.120056,-1578.141724,-368.058197,0.3198187984,0.9470128797,0.0297076076,,,,
2343,0.0,596.578552,-1578.168945,-368.044464,-0.0182969921,0.9963790186,0.0830305446,,,,
2344,0.0,596.643433,-1578.13562,-367.979401,-0.1032346431,0.9891508858,0.104513796,,,,
2345,0.0,596.629944,-1578.06958,-367.741608,-0.221421618,0.9658359516,0.1346602455,,,,
2346,0.0,596.572632,-1577.99707,-367.407959,-0.2626525632,0.9538328039,0.145659237,,,,
2347,0.0,596.419067,-1577.888916,-366.689545,-0.2758536352,0.9495352044,0.1492905475,,,,
2348,0.0,596.3302,-1577.847534,-365.972351,-0.2758536352,0.9495352044,0.1492905475,,,,
2349,0.0,596.186462,-1577.818237,-364.76709,-0.2758536352,0.9495352044,0.1492905475,,,,
2350,0.0,596.024658,-1577.820923,-363.210907,-0.2758536352,0.9495352044,0.1492905475,,,,
2351,0.0,595.909058,-1577.901978,-361.869171,-0.2758536352,0.9495352044,0.1492905475,,,,
2352,0.0,595.726624,-1577.892822,-359.614777,-0.2758536352,0.9495352044,0.1492905475,,,,
2353,0.0,595.575989,-1577.579468,-359.110077,-0.2758536352,0.9495352044,0.1492905475,,,,
2354,0.0,595.42572,-1577.494507,-357.249695,-0.2758536352,0.9495352044,0.1492905475,,,,
2355,0.0,595.225098,-1576.648926,-356.732117,-0.2758536352,0.9495352044,0.1492905475,,,,
2356,0.0,595.234436,-1576.134277,-355.927094,-0.2789311472,0.9492038661,0.1456345967,,,,
2357,0.0,595.395203,-1575.955444,-354.695007,-0.3039110448,0.9431099595,0.1348394644,,,,
2358,0.0,595.191833,-1575.133301,-354.544434,-0.3430265027,0.9302232815,0.1304510061,,,,
2359,0.0,594.825134,-1574.860474,-353.079956,-0.4188096131,0.8992668977,0.1261647917,,,,
2360,0.0,594.479736,-1574.505493,-353.509735,-0.5027450628,0.8552687184,0.1255500747,,,,
2361,0.0,594.674622,-1574.705811,-353.44632,-0.5998091631,0.7902317044,0.1255500747,,,,
2362,0.0,594.555481,-1574.405273,-353.526459,-0.6628892414,0.7375052399,0.1290886315,,,,
2363,0.0,594.825439,-1574.028687,-353.488403,-0.7323577509,0.668151621,0.1312460897,,,,
2364,0.0,594.928894,-1573.751953,-353.463562,-0.7778094165,0.6144743873,0.1320368849,,,,
2365,0.0,595.234619,-1573.268799,-353.426636,-0.8065865831,0.5758360933,0.1335323092,,,,
2366,0.0,595.706116,-1572.455688,-353.390137,-0.8341083098,0.5350504633,0.1341056647,,,,
2367,0.0,596.512634,-1571.890625,-353.259277,-0.8479876064,0.5127696267,0.1341056647,,,,
2368,0.0,597.359558,-1570.851318,-353.194702,-0.8605023735,0.4921934752,0.1314581612,,,,
2369,0.0,598.426025,-1568.834595,-353.2836,-0.8676634509,0.4799464949,0.1296591613,,,,
2370,0.0,598.638916,-1568.0160525,-353.32222,-0.8692720892,0.4770567606,0.1295064504,,,,
2371,0.0,599.189819,-1565.952393,-353.534515,-0.8722777591,0.4717876176,0.1286388544,,,,
2372,0.0,599.300354,-1565.010315,-353.6127165,-0.8726748516,0.4710841804,0.1285209399,,,,
2373,0.0,599.410889,-1564.068237,-353.690918,-0.8730719441,0.4703807431,0.1284030254,,,,
2374,0.0,599.502808,-1561.050049,-353.881012,-0.873542775,0.4695057862,0.1284030254,,,,
2375,0.0,599.294189,-1559.320801,-353.941071,-0.873542775,0.4695057862,0.1284030254,,,,
2376,0.0,599.155151,-1557.151733,-353.982452,-0.873542775,0.4695057862,0.1284030254,,,,
2377,0.0,598.980042,-1555.291992,-354.055542,-0.873542775,0.4695057862,0.1284030254,,,,
2378,0.0,598.9646,-1552.927979,-354.101837,-0.873542775,0.4695057862,0.1284030254,,,,
2379,0.0,599.193176,-1551.160767,-354.021912,-0.873542775,0.4695057862,0.1284030254,,,,
2380,0.0,599.37262,-1548.914429,-353.90387,-0.873542775,0.4695057862,0.1284030254,,,,
2381,0.0,599.469177,-1547.315063,-353.772247,-0.873542775,0.4695057862,0.1284030254,,,,
2382,0.0,599.435547,-1545.023193,-353.602386,-0.873542775,0.4695057862,0.1284030254,,,,
2383,0.0,599.340088,-1542.767456,-353.468109,-0.873542775,0.4695057862,0.1284030254,,,,
2384,0.0,599.099121,-1541.015381,-353.270172,-0.873542775,0.4695057862,0.1284030254,,,,
2385,0.0,598.934937,-1538.61145,-353.069092,-0.873542775,0.4695057862,0.1284030254,,,,
2386,0.0,598.885132,-1536.036865,-352.865204,-0.873542775,0.4695057862,0.1284030254,,,,
2387,0.0,598.927185,-1534.148926,-352.790466,-0.873542775,0.4695057862,0.1284030254,,,,
2388,0.0,599.267334,-1531.76062,-352.743439,-0.873542775,0.4695057862,0.1284030254,,,,
2389,0.0,599.615356,-1530.097534,-352.684479,-0.873542775,0.4695057862,0.1284030254,,,,
2390,0.0,600.198364,-1527.632568,-352.668671,-0.872731609,0.4710118818,0.12840306,,,,
2391,0.0,600.773499,-1525.885864,-352.663391,-0.8639265625,0.4855847899,0.1335601227,,,,
2392,0.0,601.980713,-1522.894409,-352.654724,-0.8190413744,0.5548497256,0.1459897567,,,,
2393,0.0,602.42572,-1520.738037,-352.661865,-0.7613762271,0.6301901938,0.1522056517,,,,
2394,0.0,603.355591,-1518.30481,-352.714874,-0.6166989519,0.7719828577,0.1540287967,,,,
2395,0.0,604.793213,-1516.027344,-352.971069,-0.3793606009,0.9121800235,0.1549617347,,,,
2396,0.0,605.695251,-1514.633301,-353.149536,-0.2474239402,0.9565623546,0.1541747568,,,,
2397,0.0,606.507812,-1513.511841,-353.334808,-0.1336773608,0.9790871056,0.1533584132,,,,
2398,0.0,607.346252,-1512.489136,-353.585388,0.0151884352,0.9884663871,0.1506768494,,,,
2399,0.0,607.690369,-1511.883667,-353.773376,0.0816321745,0.9857701622,0.1469468455,,,,
2400,0.0,607.808472,-1510.995117,-353.897644,0.1588288218,0.9774530945,0.139136097,,,,
2401,0.0,607.644043,-1510.077148,-354.002075,0.1852263502,0.9732254682,0.1361006508,,,,
2402,0.0,607.005554,-1508.487549,-354.268494,0.2017301898,0.9701922028,0.1342833579,,,,
2403,0.0,606.113831,-1507.055176,-354.424133,0.2060040767,0.9693183102,0.134105682,,,,
2404,0.0,605.319824,-1506.05603,-354.470795,0.2062628608,0.9692632761,0.134105682,,,,
2405,0.0,604.029419,-1504.650513,-354.533905,0.206213874,0.9690318327,0.1358423549,,,,
2406,0.0,602.955627,-1503.70166,-354.559814,0.206208959,0.9690099825,0.1360055849,,,,
2407,0.0,601.853882,-1502.791504,-354.541107,0.2106112969,0.9680626852,0.1360055849,,,,
2408,0.0,600.281433,-1501.76355,-354.575775,0.2223162641,0.9660040392,0.1319533058,,,,
2409,0.0,599.122131,-1501.120483,-354.551514,0.2375792484,0.9628170873,0.128605432,,,,
2410,0.0,597.537231,-1500.233154,-354.544739,0.2561452478,0.9586952816,0.1236647445,,,,
2411,0.0,595.767822,-1499.33606,-354.486664,0.2724773489,0.9546504107,0.1199945319,,,,
2412,0.0,594.326416,-1498.652466,-354.382202,0.2792687285,0.9529001734,0.1182803315,,,,
2413,0.0,592.657104,-1497.903687,-354.217926,0.2842001047,0.9514836324,0.1179372617,,,,
2414,0.0,590.556091,-1496.990723,-354.081573,0.2869136954,0.9506688875,0.1179372617,,,,
2415,0.0,589.38269,-1496.084473,-354.087219,0.2892760978,0.9499527049,0.1179372617,,,,
2416,0.0,587.527222,-1494.92395,-354.114319,0.2915101863,0.9492695158,0.1179372617,,,,
2417,0.0,583.490479,-1493.976807,-354.096527,0.2991946006,0.9469240924,0.1175472422,,,,
2418,0.0,582.1539615,-1493.850464,-354.0603485,0.2900498278,0.9499854614,0.1153291004,,,,
2419,0.0,580.817444,-1493.724121,-354.02417,0.2809050549,0.9530468305,0.1131109586,,,,
2420,0.0,577.151794,-1494.198975,-353.644226,0.280756279,0.9530942904,0.1130804379,,,,
2421,0.0,576.1716915,-1494.5266725,-353.4662015,0.280756279,0.9530942904,0.1130804379,,,,
2422,0.0,573.636292,-1495.713989,-352.851501,0.280756279,0.9530942904,0.1130804379,,,,
